Mode,Q_Stay,Q_Switch,Final_Win_Rate
classic,0.3309186701275358,0.6705064365515311,0.76
evil,0.2109953684158399,0.7660381848131836,0.66
lazy,0.25443820533222783,0.770840613421391,0.62
angelic,0.2670154054856805,0.7308952672849169,0.6
ignorant,0.17226083983621554,0.2793677940234367,0.3
